1985;4870921666
1986;4960568000
1987;5052521998
1988;5145425994
1989;5237441434
1990;5327231041
1991;5414289383
1992;5498919893
1993;5581597598
1994;5663150428
1995;5744212930
1996;5824891931
1997;5905045647
1998;5984794075
1999;6064239033
2000;6143493806
2001;6222626531
2002;6301773172
2003;6381185141
2004;6461159391
2005;6541906956
2006;6623517917
2007;6705946643
2008;6789088672
2009;6872766988
2010;6956823588
2011;7041194168
2012;7125827957
2013;7210582041
2014;7295290759
2015;7379796967
2016;7464021934
2017;7547858900
2018;7631091113
2019;7713468205
2020;7794798729
